City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Nantucket,US,41.2835,-70.0995,51.91,91,0,12.66,clear sky
295,Mayumba,GA,-3.432,10.6554,76.33,91,96,4.12,light rain
296,Aasiaat,GL,68.7098,-52.8699,13.98,98,100,6.55,overcast clouds
297,Dwarka,IN,22.2394,68.9678,80.92,74,0,12.55,clear sky
298,Oriximina,BR,-1.7656,-55.8661,75.0,93,97,3.33,overcast clouds
299,Sorong,ID,-0.8833,131.25,84.97,67,86,4.85,overcast clouds
300,Turukhansk,RU,65.8167,87.9833,32.05,100,100,14.63,overcast clouds
301,Katsuura,JP,35.1333,140.3,69.12,84,100,13.65,overcast clouds
302,Manggar,ID,-2.8833,108.2667,86.45,58,18,6.24,few clouds
303,Necochea,AR,-38.5473,-58.7368,50.41,87,14,10.13,few clouds
304,Dingle,PH,10.9995,122.6711,77.0,83,100,1.74,overcast clouds
305,Bijar,IR,35.8668,47.6051,43.21,55,0,5.41,clear sky
306,Khlong Luang,TH,14.0647,100.6458,97.99,63,20,6.91,few clouds
307,Abramovka,RU,51.1886,41.0202,48.54,86,55,11.9,broken clouds
308,Shakawe,BW,-18.3667,21.85,66.34,68,98,2.17,overcast clouds
309,Kovdor,RU,67.5662,30.4758,19.49,93,61,1.34,broken clouds
310,Marshfield,US,44.6689,-90.1718,47.08,76,100,18.41,overcast clouds
311,Borogontsy,RU,62.6683,131.1683,28.62,82,100,5.03,overcast clouds
312,Nizhniy Kuranakh,RU,58.8353,125.4869,29.41,68,100,3.69,light snow
313,Kropotkin,RU,45.4375,40.5756,41.76,81,100,20.92,overcast clouds
314,Mwinilunga,ZM,-11.7358,24.4293,59.52,98,55,3.76,broken clouds
315,Mareeba,AU,-17.0,145.4333,85.44,63,97,7.56,overcast clouds
316,Atasu,KZ,48.6814,71.6433,50.83,40,72,13.42,broken clouds
317,Caucaia,BR,-3.7361,-38.6531,82.04,76,40,4.61,scattered clouds
318,Buala,SB,-8.145,159.5921,85.84,64,20,8.14,few clouds
319,Jumla,NP,29.2747,82.1838,64.17,37,26,5.73,scattered clouds
320,Ketchikan,US,55.3422,-131.6461,41.47,22,0,3.44,clear sky
321,Gat,IL,31.61,34.7642,56.08,77,7,0.76,clear sky
322,Tihemetsa,EE,58.1462,25.0459,25.88,86,14,2.33,few clouds
323,Vostok,RU,46.4856,135.8833,35.64,68,100,6.58,overcast clouds
324,Bruck An Der Leitha,AT,48.0167,16.7667,48.31,65,0,13.8,clear sky
325,Lubango,AO,-14.9172,13.4925,56.17,94,7,2.66,clear sky
326,Valle De Allende,MX,26.9333,-105.4,65.59,22,0,16.31,clear sky
327,Agadir,MA,30.4202,-9.5982,59.45,76,43,5.79,scattered clouds
328,Udarnyy,RU,54.3409,42.8611,47.59,89,98,4.88,overcast clouds
329,Pirovskoye,RU,57.6267,92.2658,31.84,83,97,1.21,overcast clouds
330,Wanning,CN,18.8003,110.3967,84.18,66,3,4.94,clear sky
331,Saint-Pierre,RE,-21.3393,55.4781,76.91,80,20,24.16,few clouds
332,Maragogi,BR,-9.0122,-35.2225,77.36,84,69,4.63,broken clouds
333,Lavrentiya,RU,65.5833,-171.0,18.88,85,95,10.94,overcast clouds
334,College,US,64.8569,-147.8028,40.08,88,99,0.85,overcast clouds
335,Fare,PF,-16.7,-151.0167,82.4,71,3,13.02,clear sky
336,Komsomolskiy,UZ,40.4272,71.7189,66.92,48,28,6.91,scattered clouds
337,Kadoma,JP,34.7333,135.5833,78.6,51,100,6.08,overcast clouds
338,Det Udom,TH,14.906,105.0784,90.95,43,39,7.81,scattered clouds
339,Salihorsk,BY,52.7876,27.5415,35.55,73,70,13.27,broken clouds
340,Axim,GH,4.8699,-2.2405,80.11,84,100,6.85,light rain
